date,time,country,country_code,group_letter,spi,spi_offense,spi_defense,group,sixteen,quarter_finals,semi_finals,final,champion
11 June,13:30,Costa Rica,CRC,D,74.07,1.3227,0.6993,0.0945,0.2622,0.100049602883884,0.018857900330671,0.005468305054972,0.001068778788604
11 June,13:30,Croatia,CRO,A,75.72,1.7517,0.9161,0.0188,0.3808,0.102780192060054,0.041272006247888,0.012855375488164,0.00217049070814
11 June,13:30,Ecuador,ECU,E,80.65,2.0299,0.7683,0.2364,0.5583,0.230000434592088,0.101267804170091,0.032383162168102,0.008657282801053
11 June,13:30,England,ENG,D,83.22,2.2079,0.6889,0.3474,0.6318,0.350894745784927,0.119919689750849,0.052928232205708,0.016036478113868
11 June,13:30,Spain,ESP,B,89.13,2.6879,0.4468,0.4914,0.8003,0.455723538506813,0.310964619818756,0.182879904720425,0.076761496863487
11 June,13:30,France,FRA,E,86.12,2.4851,0.619,0.54,0.7974,0.452428491629849,0.245063184438084,0.090112508873652,0.037191840395955
11 June,13:30,Germany,GER,G,88.87,3.1937,0.7755,0.6799,0.8806,0.683824569020036,0.448736055292883,0.196900878690128,0.106981061567489
11 June,13:30,Ghana,GHA,G,77.23,1.9076,0.9275,0.0814,0.3161,0.155059907343112,0.05265742656114,0.015753947014718,0.003224608429343
11 June,13:30,Greece,GRE,C,76.78,1.3357,0.5395,0.1458,0.3919,0.156767526184398,0.039476103888973,0.012603960830937,0.002504080622099
11 June,13:30,Honduras,HON,E,69.62,1.5622,1.1624,0.055,0.1984,0.047903360896607,0.014064631295591,0.002989010152518,0.000414407016756
11 June,13:30,Iran,IRN,F,70.63,1.2966,0.8879,0.0339,0.1958,0.05913824518343,0.015941164411905,0.002499168356307,0.000441877591171
11 June,13:30,Italy,ITA,D,79.49,1.9814,0.8195,0.2038,0.4577,0.217790424141203,0.056716503091826,0.021080310411438,0.005310448215507
11 June,13:30,Japan,JPN,C,73.5,2.1313,1.3487,0.1069,0.3,0.106262132387176,0.02310822225633,0.006379715262849,0.001025400304521
11 June,13:30,South Korea,KOR,H,72.38,1.6901,1.0877,0.1484,0.3948,0.103997024167983,0.029226444640991,0.00552887738162,0.000958832531394
11 June,13:30,Mexico,MEX,A,76.95,1.5534,0.6888,0.0233,0.398,0.113042305295909,0.046766312917696,0.015304940195237,0.00273507086292
11 June,13:30,Netherlands,NED,B,82.49,2.3128,0.817,0.1543,0.4284,0.139295109962927,0.073126049369133,0.031512227702375,0.009363735915568
11 June,13:30,Nigeria,NGA,F,75.23,1.6677,0.8861,0.0712,0.3174,0.11734072473834,0.038951318733236,0.008085589120883,0.001768245703567
11 June,13:30,Portugal,POR,G,81.02,2.1409,0.8161,0.1502,0.4805,0.269608935686045,0.110292472220377,0.038370712452957,0.010010823367156
11 June,13:30,Russia,RUS,H,79.03,1.6564,0.6236,0.3104,0.6332,0.23686787656471,0.086606876112849,0.024586170958073,0.005797379778698
11 June,13:30,Switzerland,SUI,E,78.05,1.9844,0.9249,0.1686,0.4459,0.161334829335447,0.064760112460499,0.018915572842927,0.004287774988087
11 June,13:30,Uruguay,URU,D,83.35,2.2396,0.6998,0.3543,0.6483,0.366725218543659,0.128877408169174,0.057833786301493,0.017892458359948
11 June,13:30,USA,USA,G,77.42,2.047,1.0139,0.0885,0.3228,0.160588140942895,0.05572007206556,0.016831621472528,0.003517041148902
12 June,09:45,Algeria,ALG,H,63.42,1.1206,1.1638,0.06,0.2056,0.037868410273811,0.007940514796466,0.001009337437611,0.000124980323982
12 June,09:45,Argentina,ARG,F,90,2.8542,0.4494,0.735,0.9255,0.66814194415344,0.465630841132361,0.280261821829794,0.127124612529417
12 June,09:45,Australia,AUS,B,69.45,1.6393,1.2349,0.0181,0.0822,0.011261539129572,0.003386945534424,0.000792221988222,0.000107672710319
12 June,09:45,Belgium,BEL,H,81.97,2.1378,0.7411,0.4994,0.7746,0.357997371511668,0.15073795013924,0.055361384757152,0.015142898294426
12 June,09:45,Bosnia and Herzegovina,BIH,F,80.31,2.3112,0.9862,0.162,0.56,0.261041510181427,0.111443516554028,0.031640956895974,0.00893297578768
12 June,09:45,Brazil,BRA,A,91.83,3.3717,0.5197,0.9502,0.993,0.804536300351416,0.697782190551531,0.566521374217148,0.453966784029812
12 June,09:45,Chile,CHI,B,86.72,2.7115,0.7043,0.3407,0.6971,0.324821810911538,0.205517130953318,0.110052410900716,0.041841444962487
12 June,09:45,Ivory Coast,CIV,C,78.9,2.2467,1.0481,0.2376,0.5451,0.251291497990899,0.069924866387952,0.025816629834415,0.006234539084229
12 June,09:45,Cameroon,CMR,A,71.33,1.48,0.9905,0.0091,0.2424,0.053314190377119,0.017975664401307,0.004641837270198,0.000620628410591
12 June,09:45,Colombia,COL,C,85.82,2.1811,0.4528,0.5183,0.7775,0.455015984486429,0.148397068540172,0.072811145955533,0.027809002305692
12 June,09:45,Costa Rica,CRC,D,74.08,1.3227,0.6992,0.097,0.2649,0.102105644555558,0.01895752019557,0.005517077785339,0.001082601203988
12 June,09:45,Croatia,CRO,A,75.72,1.7517,0.9161,0.019,0.3657,0.099807393802488,0.039903959260006,0.012421856754265,0.002106898622797
12 June,09:45,Ecuador,ECU,E,80.65,2.0297,0.7682,0.2373,0.5511,0.228179609478246,0.101094435615907,0.031987236624023,0.008615595834778
12 June,09:45,England,ENG,D,83.22,2.2077,0.689,0.3448,0.6322,0.350471079056374,0.120725107035357,0.053172272305356,0.016075183368646
12 June,09:45,Spain,ESP,B,89.13,2.6879,0.4467,0.485,0.7914,0.453216370497319,0.309212314119998,0.181659357479128,0.076211603515023
12 June,09:45,France,FRA,E,86.13,2.4857,0.6189,0.5362,0.805,0.456969496533447,0.247372966306199,0.091716557222081,0.037601257841632
12 June,09:45,Germany,GER,G,88.88,3.1935,0.7751,0.6711,0.8831,0.686615936713572,0.44955688826087,0.198270011719347,0.10745809708416
12 June,09:45,Ghana,GHA,G,77.23,1.9078,0.9277,0.0869,0.3211,0.156342091810229,0.05328392279734,0.015780618310923,0.003245908745313
12 June,09:45,Greece,GRE,C,76.78,1.3359,0.5396,0.1437,0.3857,0.154732838912462,0.039098193942446,0.012417479589859,0.00247304165774
12 June,09:45,Honduras,HON,E,69.62,1.5622,1.1623,0.0568,0.1972,0.047705956953365,0.01384040290191,0.002898440938231,0.000404888407343
12 June,09:45,Iran,IRN,F,70.63,1.2969,0.888,0.0369,0.196,0.059313018555133,0.016072212281797,0.002541865336838,0.000447453531587
12 June,09:45,Italy,ITA,D,79.54,1.987,0.8204,0.1962,0.449,0.214673058764528,0.056096487180409,0.020764380964801,0.00527160827155
12 June,09:45,Japan,JPN,C,73.5,2.1306,1.3483,0.1004,0.2917,0.103892526183539,0.022867497406085,0.006287038635699,0.001007522493134
12 June,09:45,South Korea,KOR,H,72.39,1.6901,1.0873,0.1405,0.3848,0.102354095109593,0.028762544800118,0.005421902668349,0.000940636576468
12 June,09:45,Mexico,MEX,A,76.95,1.5531,0.6888,0.0217,0.3989,0.113657745002099,0.047233510885475,0.015332369858381,0.0027341872528
12 June,09:45,Netherlands,NED,B,82.5,2.3132,0.817,0.1562,0.4293,0.139384649928523,0.073414659210361,0.031559112222876,0.009377475186881
12 June,09:45,Nigeria,NGA,F,75.23,1.6678,0.8861,0.0661,0.3185,0.117896262286419,0.0395260854691,0.007979894980822,0.001773285207323
12 June,09:45,Portugal,POR,G,81.02,2.1406,0.8163,0.1501,0.4704,0.263302951417789,0.107710455845219,0.037353944802588,0.009731838070798
12 June,09:45,Russia,RUS,H,79.02,1.6563,0.6237,0.3001,0.635,0.234130468602576,0.086132488470032,0.024054995964663,0.005746460851027
12 June,09:45,Switzerland,SUI,E,78.05,1.9845,0.9248,0.1697,0.4467,0.160752201858488,0.064484234054837,0.018855449768954,0.004275694684225
12 June,09:45,Uruguay,URU,D,83.35,2.2397,0.6997,0.362,0.6539,0.367817370050218,0.129506884395571,0.058143840887772,0.017958079661155
12 June,09:45,USA,USA,G,77.42,2.0472,1.0139,0.0919,0.3254,0.161388674560728,0.056410540574578,0.016955174092943,0.003555143492998
12 June,22:00,Algeria,ALG,H,63.42,1.1206,1.1638,0.0579,0.2011,0.037567268553394,0.007756380798401,0.000959503766594,0.000120317254567
12 June,22:00,Argentina,ARG,F,90,2.8542,0.4494,0.7256,0.923,0.665611877773039,0.464039057169555,0.279712954910486,0.126466524058758
12 June,22:00,Australia,AUS,B,69.45,1.6393,1.2349,0.0155,0.076,0.009538369967092,0.002844896729806,0.000663225155994,9.0596879322E-05
