date,time,country,country_code,group_letter,spi,spi_offense,spi_defense,group,sixteen,quarter_finals,semi_finals,final,champion
16 June,18:30,Portugal,POR,G,80.92,2.1411,0.8218,0.0135,0.3045,0.166777622812808,0.057321316328499,0.024171675466025,0.005711953293453
16 June,18:30,Russia,RUS,H,78.95,1.6554,0.6267,0.2984,0.6316,0.229338049522111,0.075063120896798,0.021943097151759,0.005103749504671
16 June,18:30,Switzerland,SUI,E,79.31,2.0712,0.8939,0.2565,0.8017,0.275158721701372,0.115209073237374,0.037491267996849,0.008937602820852
16 June,18:30,Uruguay,URU,D,80.77,2.1806,0.8603,0.0596,0.2113,0.092050716762812,0.023833273910238,0.008924428738511,0.002637089738336
16 June,18:30,USA,USA,G,77.53,2.0458,1.0036,0.0608,0.368,0.181917741358269,0.054924946079557,0.01829981518557,0.003689868411849
16 June,21:00,Algeria,ALG,H,63.35,1.1188,1.166,0.0555,0.1961,0.032713282139525,0.005879493027132,0.000767016827378,9.0640792245E-05
16 June,21:00,Argentina,ARG,F,90.51,2.901,0.4164,0.9176,0.9867,0.720543978158907,0.532130406747567,0.352757188307464,0.160918014354805
16 June,21:00,Australia,AUS,B,68.84,1.649,1.2804,0.0015,0.0201,0.001715072297163,0.000453959594511,9.0536515986E-05,1.2975969907E-05
16 June,21:00,Belgium,BEL,H,82.1,2.1462,0.7351,0.4982,0.7773,0.360321347976966,0.136803347478126,0.052656757005583,0.014400769174331
16 June,21:00,Bosnia and Herzegovina,BIH,F,80.81,2.3194,0.9513,0.0345,0.5661,0.231504318038691,0.088836841933831,0.021512101885177,0.007165132355098
16 June,21:00,Brazil,BRA,A,91.61,3.3851,0.5567,0.9691,0.9989,0.792042920000962,0.664097654831376,0.523866487003988,0.412618719988278
16 June,21:00,Chile,CHI,B,86.77,2.7182,0.702,0.3071,0.7697,0.322025244824922,0.204419523964215,0.103895448679726,0.040691327408684
16 June,21:00,Ivory Coast,CIV,C,79.11,2.2107,1.0052,0.2214,0.7878,0.398244738845796,0.127858151610029,0.043989254359831,0.010013761587311
16 June,21:00,Cameroon,CMR,A,70.02,1.3536,0.9693,0.0005,0.028,0.005575291515511,0.00191285557149,0.000430400394696,5.3445219045E-05
16 June,21:00,Colombia,COL,C,87.62,2.3961,0.4209,0.7563,0.9592,0.635984706578453,0.216564565213394,0.110299963297429,0.049671073705131
16 June,21:00,Costa Rica,CRC,D,77.4,1.592,0.6859,0.4147,0.7206,0.288470953347291,0.077845511044925,0.024034167432816,0.004980378460736
16 June,21:00,Croatia,CRO,A,76.37,1.8136,0.9164,0.0031,0.3822,0.105326074293559,0.045672108013036,0.013556032928251,0.00237835952492
16 June,21:00,Ecuador,ECU,E,79.78,1.9875,0.8012,0.0323,0.1979,0.060871613794728,0.027654791910595,0.010158995933043,0.002349940376514
16 June,21:00,England,ENG,D,82.19,2.1702,0.744,0.0821,0.3209,0.145920263153043,0.038865213120628,0.015290198966175,0.004868954126675
16 June,21:00,Spain,ESP,B,86.75,2.6107,0.6378,0.0262,0.2539,0.068387159303465,0.040606515203798,0.020353034665734,0.009030408213924
16 June,21:00,France,FRA,E,87.49,2.6233,0.5744,0.7141,0.9328,0.57828508727293,0.311719266669274,0.119770556792722,0.055587227836562
16 June,21:00,Germany,GER,G,88.87,3.1985,0.7763,0.8649,0.9755,0.760546536316605,0.486082289400276,0.202859697705238,0.113776983151938
16 June,21:00,Ghana,GHA,G,77.37,1.9046,0.9141,0.0591,0.3614,0.174858153845872,0.05156063352428,0.016855210414417,0.003346192188671
16 June,21:00,Greece,GRE,C,74.35,1.292,0.6577,0.0099,0.1434,0.059014302936634,0.016845826335243,0.004527639398778,0.000719900161096
16 June,21:00,Honduras,HON,E,68.35,1.5065,1.1953,0.005,0.078,0.01239050970568,0.003778471961853,0.000915713087799,0.000106469745778
16 June,21:00,Iran,IRN,F,70.6,1.2978,0.8898,0.0184,0.1794,0.045584248456959,0.010965849244285,0.001611404643648,0.000293254480808
16 June,21:00,Italy,ITA,D,80.14,2.0362,0.8086,0.4454,0.749,0.337364018178689,0.10595124223669,0.037527734831719,0.009106213849954
16 June,21:00,Japan,JPN,C,73.12,2.0752,1.3316,0.0124,0.1096,0.042860436427202,0.011028552282257,0.002728929655735,0.000390779519767
16 June,21:00,South Korea,KOR,H,72.42,1.6882,1.0828,0.1468,0.3895,0.09882913771642,0.024103472241912,0.00480594899429,0.000801634474881
16 June,21:00,Mexico,MEX,A,77.47,1.5187,0.6278,0.0273,0.5909,0.169196892653165,0.07402609997472,0.022677443114094,0.004168661627136
16 June,21:00,Netherlands,NED,B,86.87,2.8015,0.7438,0.6652,0.9563,0.535731345111259,0.350073421622477,0.179214034172493,0.065899756920421
16 June,21:00,Nigeria,NGA,F,75.02,1.6593,0.8921,0.0295,0.2678,0.083904750692901,0.024760701260113,0.004655255560814,0.001065778189849
16 June,21:00,Portugal,POR,G,80.92,2.1411,0.8218,0.0137,0.2948,0.161193211339171,0.054622505280723,0.023117439926474,0.005458770795641
16 June,21:00,Russia,RUS,H,78.95,1.6554,0.6267,0.2995,0.6371,0.230180715204233,0.075167889280263,0.021868159686884,0.005096784198832
16 June,21:00,Switzerland,SUI,E,79.31,2.0712,0.8939,0.2486,0.7913,0.266915493879208,0.111682531252151,0.036285730520959,0.008664371474583
16 June,21:00,Uruguay,URU,D,80.77,2.1806,0.8603,0.0578,0.2095,0.092140580532796,0.023778799381224,0.008860428924798,0.002624259952617
16 June,21:00,USA,USA,G,77.53,2.0458,1.0036,0.0623,0.3683,0.181357615461333,0.054251508787627,0.018061088365865,0.003649060173863
17 June,00:00,Algeria,ALG,H,63.35,1.1188,1.166,0.0616,0.2067,0.035350456869402,0.006215951295789,0.000819902920441,9.6744518839E-05
17 June,00:00,Argentina,ARG,F,90.51,2.901,0.4164,0.916,0.986,0.719410163405224,0.53126997987858,0.351645982734618,0.160550520938615
17 June,00:00,Australia,AUS,B,68.84,1.649,1.2804,0.002,0.0181,0.001684078687661,0.000462980326379,9.1514896859E-05,1.2761292182E-05
17 June,00:00,Belgium,BEL,H,82.1,2.1462,0.7351,0.4916,0.7796,0.359600468715157,0.137245387012417,0.052554460910521,0.014402570113508
17 June,00:00,Bosnia and Herzegovina,BIH,F,80.81,2.3194,0.9513,0.0349,0.557,0.22819095766165,0.087351624232213,0.021124051510081,0.007049261882266
17 June,00:00,Brazil,BRA,A,91.61,3.3851,0.5567,0.9667,0.9981,0.791047203507804,0.663626219145004,0.523531609397476,0.412326544025928
17 June,00:00,Chile,CHI,B,86.77,2.7182,0.702,0.2958,0.7733,0.316555958124034,0.199922883656494,0.101776494917917,0.040158115466704
17 June,00:00,Ivory Coast,CIV,C,79.11,2.2107,1.0052,0.2264,0.7916,0.39921132281953,0.127463168929913,0.043932979668999,0.010031094082088
17 June,00:00,Cameroon,CMR,A,70.02,1.3536,0.9693,0.0006,0.0336,0.006755626882661,0.002331947428091,0.000518576335869,6.5828763391E-05
17 June,00:00,Colombia,COL,C,87.62,2.3961,0.4209,0.7514,0.9637,0.639507590082529,0.219943069698542,0.112105243101171,0.05019287366526
17 June,00:00,Costa Rica,CRC,D,77.4,1.592,0.6859,0.3964,0.7124,0.281097515540202,0.074884720986478,0.023128178289491,0.004824632437487
17 June,00:00,Croatia,CRO,A,76.37,1.8136,0.9164,0.0028,0.3734,0.102925755912493,0.04425673578684,0.013207833812502,0.00231608995105
17 June,00:00,Ecuador,ECU,E,79.78,1.9875,0.8012,0.0326,0.1973,0.060652939786743,0.027518395065495,0.010166545772505,0.002349047067209
17 June,00:00,England,ENG,D,82.19,2.1702,0.744,0.087,0.3316,0.151292182892067,0.040510434857833,0.015969616733152,0.005065420276505
17 June,00:00,Spain,ESP,B,86.75,2.6107,0.6378,0.0276,0.2501,0.0681459013721,0.040389660883552,0.020257170281636,0.008956398702776
17 June,00:00,France,FRA,E,87.49,2.6233,0.5744,0.713,0.9301,0.577506343377319,0.312106451848207,0.119777465625855,0.055616874065252
17 June,00:00,Germany,GER,G,88.87,3.1985,0.7763,0.8609,0.9748,0.759808032673818,0.485631006055591,0.203162132001928,0.113830283241632
17 June,00:00,Ghana,GHA,G,77.37,1.9046,0.9141,0.0091,0.1241,0.059659372700327,0.017047322740623,0.005996928018458,0.001157838482744
17 June,00:00,Greece,GRE,C,74.35,1.292,0.6577,0.0091,0.1435,0.05857445395977,0.016745893986777,0.004461503817726,0.000711436024982
17 June,00:00,Honduras,HON,E,68.35,1.5065,1.1953,0.0056,0.0708,0.011152231918109,0.003365187635028,0.000796037299222,9.3980916969E-05
17 June,00:00,Iran,IRN,F,70.6,1.2978,0.8898,0.0185,0.1817,0.045601975672139,0.010979671147245,0.001647047561935,0.000295705918899
17 June,00:00,Italy,ITA,D,80.14,2.0362,0.8086,0.4621,0.7482,0.339733911353248,0.108067349733799,0.038210377895366,0.009232418862606
17 June,00:00,Japan,JPN,C,73.12,2.0752,1.3316,0.0131,0.1012,0.039525256337352,0.01007499050223,0.002488903968907,0.000358144378192
17 June,00:00,South Korea,KOR,H,72.42,1.6882,1.0828,0.142,0.3831,0.09597002210787,0.023533457833988,0.00465795419397,0.000781322153933
17 June,00:00,Mexico,MEX,A,77.47,1.5187,0.6278,0.0299,0.5949,0.170248361316808,0.074206481729173,0.022681804696265,0.004175719083034
17 June,00:00,Netherlands,NED,B,86.87,2.8015,0.7438,0.6746,0.9585,0.542637114196444,0.354057935452073,0.181201069172274,0.066533398006242
17 June,00:00,Nigeria,NGA,F,75.02,1.6593,0.8921,0.0306,0.2753,0.0866961545738,0.025714496458347,0.004813380627273,0.001103129068054
17 June,00:00,Portugal,POR,G,80.92,2.1411,0.8218,0.0153,0.27,0.148492541553241,0.050812326773898,0.021294840158832,0.005050577166987
17 June,00:00,Russia,RUS,H,78.95,1.6554,0.6267,0.3048,0.6306,0.229844928389299,0.074743022834944,0.021849467252531,0.005074974982757
17 June,00:00,Switzerland,SUI,E,79.31,2.0712,0.8939,0.2488,0.8018,0.270789233605018,0.113160317819194,0.036861789497243,0.008784833766694
17 June,00:00,Uruguay,URU,D,80.77,2.1806,0.8603,0.0545,0.2078,0.091057767015198,0.023055526896832,0.008646155294699,0.002584793193771
17 June,00:00,USA,USA,G,77.53,2.0458,1.0036,0.1147,0.6311,0.311274176991001,0.093305401368455,0.030622981634288,0.006216667503447
17 June,09:30,Algeria,ALG,H,63.35,1.1178,1.1668,0.0593,0.1967,0.031353687201243,0.005870039959301,0.000804767818341,9.1435486616E-05
17 June,09:30,Argentina,ARG,F,89.87,2.8242,0.4467,0.8993,0.9815,0.698047034055577,0.498667030807264,0.31869132374967,0.136521219757885
17 June,09:30,Australia,AUS,B,69.13,1.6537,1.2677,0.0022,0.0214,0.00172897196142,0.000501773721131,9.9874121923E-05,1.4657278829E-05
17 June,09:30,Belgium,BEL,H,82.09,2.1425,0.7344,0.4971,0.7777,0.350975743080738,0.139068674948022,0.054326875647939,0.014457777268047
17 June,09:30,Bosnia and Herzegovina,BIH,F,80.57,2.326,0.9764,0.0395,0.5472,0.230892581537814,0.080554192285932,0.019546609771575,0.006506353517453
17 June,09:30,Brazil,BRA,A,91.6,3.3842,0.5578,0.968,0.9985,0.790926300946913,0.663099666205546,0.510543832936704,0.406670888804216
17 June,09:30,Chile,CHI,B,86.83,2.7238,0.7007,0.3112,0.7756,0.325087830993393,0.206102077025248,0.106600638710091,0.041478195862186
17 June,09:30,Ivory Coast,CIV,C,79.15,2.2139,1.0064,0.2228,0.7895,0.39816058965572,0.127399567760031,0.045530351199531,0.010126890376656
17 June,09:30,Cameroon,CMR,A,70.12,1.356,0.967,0.0005,0.0302,0.006012092708289,0.002062342050852,0.000496950152126,6.0659787349E-05
17 June,09:30,Colombia,COL,C,87.63,2.3896,0.4174,0.7559,0.965,0.639744602628343,0.218645003314157,0.109473250312319,0.049335684774511
17 June,09:30,Costa Rica,CRC,D,77.45,1.5906,0.6828,0.4035,0.7233,0.286776477595971,0.076223110903431,0.024273972354694,0.004957149085188
17 June,09:30,Croatia,CRO,A,76.38,1.8123,0.9164,0.002,0.3851,0.105788057218578,0.045607893683955,0.014275952810349,0.002419913264329
17 June,09:30,Ecuador,ECU,E,79.85,1.9826,0.7945,0.0335,0.2039,0.067107341534596,0.030311529037726,0.011377399276258,0.002545546989206
17 June,09:30,England,ENG,D,82.21,2.1664,0.7412,0.0849,0.3193,0.145483235394722,0.039248540269481,0.015358393326494,0.004829022731534
17 June,09:30,Spain,ESP,B,86.77,2.6136,0.6381,0.0251,0.2464,0.065941828931493,0.039199643716856,0.01918474493084,0.008625523022143
17 June,09:30,France,FRA,E,86.93,2.5422,0.5791,0.6886,0.9197,0.559111118388883,0.276724786480106,0.104860955933899,0.046576644799218
17 June,09:30,Germany,GER,G,90.09,3.2869,0.6908,0.8802,0.9836,0.794692529440322,0.54886610051546,0.248877532827742,0.152458740886235
17 June,09:30,Ghana,GHA,G,76.4,1.849,0.9419,0.0053,0.1097,0.051151950034122,0.014663478379021,0.005013448399902,0.000881000671053
17 June,09:30,Greece,GRE,C,74.21,1.2976,0.672,0.0105,0.1463,0.059602436610816,0.016831430658611,0.00469046491155,0.000718671874963
17 June,09:30,Honduras,HON,E,68.2,1.5045,1.2049,0.0053,0.0707,0.012094370988995,0.003611506131393,0.000861687049998,9.6284954975E-05
17 June,09:30,Iran,IRN,F,70.83,1.1909,0.7921,0.0218,0.1891,0.050844034014584,0.011268587924936,0.001750967728507,0.000318298920843
17 June,09:30,Italy,ITA,D,80.19,2.0385,0.8083,0.4526,0.7424,0.33623612856125,0.106718448308856,0.039025928196965,0.009230397542763
17 June,09:30,Japan,JPN,C,73.13,2.073,1.3309,0.0108,0.0992,0.03884033350999,0.010075661430172,0.002623229178766,0.00036191547767
17 June,09:30,South Korea,KOR,H,72.42,1.6881,1.0845,0.1447,0.3885,0.092472888844014,0.023780648532222,0.004909493965441,0.00079146789526
17 June,09:30,Mexico,MEX,A,77.57,1.5338,0.6336,0.0295,0.5862,0.168034423532056,0.073581674092714,0.023667511892912,0.004251829159479
17 June,09:30,Netherlands,NED,B,86.88,2.8083,0.7476,0.6615,0.9566,0.536480493707772,0.350210907482806,0.18447061102512,0.066790555909356
17 June,09:30,Nigeria,NGA,F,74.89,1.5476,0.8186,0.0394,0.2822,0.091254160882886,0.024795285953704,0.004900872763619,0.001079835664816
17 June,09:30,Portugal,POR,G,78.86,2.0356,0.9034,0.01,0.2343,0.119265362086526,0.03880814162696,0.015007474741001,0.003034035510272
17 June,09:30,Russia,RUS,H,78.86,1.6526,0.6319,0.2989,0.6371,0.217774111523531,0.073742947078261,0.021873568191321,0.004949967947784
17 June,09:30,Switzerland,SUI,E,79.35,2.0756,0.8953,0.2726,0.8057,0.290649358596655,0.116159136047688,0.038147318926571,0.008989849527598
17 June,09:30,Uruguay,URU,D,80.88,2.1937,0.8626,0.059,0.215,0.095156196043227,0.024492259376169,0.00920535066302,0.002734970225703
17 June,09:30,USA,USA,G,78.43,2.0989,0.9785,0.1045,0.6724,0.342313727789423,0.11310791429201,0.039528646484814,0.008094615025864
17 June,18:00,Algeria,ALG,H,63.35,1.1178,1.1668,0.0154,0.1213,0.015611458756533,0.003169889333648,0.000351278863478,4.705773395E-05
17 June,18:00,Argentina,ARG,F,89.87,2.8242,0.4467,0.9049,0.9822,0.699413340344258,0.498002272371627,0.318471697900208,0.136446759670542
17 June,18:00,Australia,AUS,B,69.13,1.6537,1.2677,0.0015,0.0198,0.001525283701677,0.000408552182234,7.9272085086E-05,1.2051736825E-05
17 June,18:00,Belgium,BEL,H,82.09,2.1425,0.7344,0.5627,0.8615,0.391309511497652,0.154537050798333,0.060783395073809,0.016111841839472
17 June,18:00,Bosnia and Herzegovina,BIH,F,80.57,2.326,0.9764,0.0353,0.5418,0.227954986435487,0.079189171175073,0.019058456915715,0.006382211458055
17 June,18:00,Brazil,BRA,A,91.6,3.3842,0.5578,0.9673,0.9975,0.789924514032611,0.662720005503559,0.510484169365308,0.406590737249902
17 June,18:00,Chile,CHI,B,86.83,2.7238,0.7007,0.3087,0.7766,0.324376255934107,0.205630823225263,0.106036852227964,0.041388930311987
17 June,18:00,Ivory Coast,CIV,C,79.15,2.2139,1.0064,0.2245,0.7805,0.3938475376594,0.125321174433142,0.044685157146786,0.00997906427512
17 June,18:00,Cameroon,CMR,A,70.12,1.356,0.967,0.0007,0.0344,0.006848626534489,0.002322450352938,0.000549039993043,6.7907597408E-05
17 June,18:00,Colombia,COL,C,87.63,2.3896,0.4174,0.7509,0.958,0.634702961076865,0.217791127232066,0.109012752351701,0.049064366923894
17 June,18:00,Costa Rica,CRC,D,77.45,1.5906,0.6828,0.4098,0.7155,0.28483286036054,0.076755698950514,0.024433178497035,0.004963855219916
17 June,18:00,Croatia,CRO,A,76.38,1.8123,0.9164,0.0019,0.3815,0.104681127161655,0.045191838369243,0.01408961151334,0.002393071043686
17 June,18:00,Ecuador,ECU,E,79.85,1.9826,0.7945,0.0343,0.2083,0.068410739580337,0.030495736461498,0.011380908607936,0.002562096541697
17 June,18:00,England,ENG,D,82.21,2.1664,0.7412,0.086,0.3216,0.147307154078741,0.039741483061258,0.015499588973715,0.004893479106664
17 June,18:00,Spain,ESP,B,86.77,2.6136,0.6381,0.0259,0.247,0.067296870413014,0.04000041567815,0.019571863774139,0.008736802646617
17 June,18:00,France,FRA,E,86.93,2.5422,0.5791,0.6855,0.9207,0.561326905148152,0.277512516065773,0.105374848160287,0.046743939527576
17 June,18:00,Germany,GER,G,90.09,3.2869,0.6908,0.8798,0.9836,0.789828948491675,0.546055172681728,0.247442676270444,0.151621708937162
17 June,18:00,Ghana,GHA,G,76.4,1.849,0.9419,0.0048,0.1023,0.046705560917668,0.013428459760293,0.004594338839508,0.000806453715049
17 June,18:00,Greece,GRE,C,74.21,1.2976,0.672,0.0109,0.1497,0.060832786392328,0.017149118982367,0.004765318066362,0.000731688474764
17 June,18:00,Honduras,HON,E,68.2,1.5045,1.2049,0.0064,0.0748,0.012818208200573,0.003702619985788,0.000881115082673,9.9143715031E-05
17 June,18:00,Iran,IRN,F,70.83,1.1909,0.7921,0.0214,0.2,0.053180201108005,0.011575393572768,0.001785280869714,0.000329895559066
17 June,18:00,Italy,ITA,D,80.19,2.0385,0.8083,0.4423,0.7467,0.339227895550124,0.106099570549208,0.038643529649083,0.00921204046861
17 June,18:00,Japan,JPN,C,73.13,2.073,1.3309,0.0137,0.1118,0.043529905443454,0.011096073425521,0.002870733573771,0.000398267741224
17 June,18:00,South Korea,KOR,H,72.42,1.6881,1.0845,0.1392,0.3874,0.091527936124365,0.023429156732667,0.004761832161234,0.000778231133492
17 June,18:00,Mexico,MEX,A,77.57,1.5338,0.6336,0.0301,0.5866,0.168156000885521,0.073689394160025,0.023645389093682,0.004253012678992
17 June,18:00,Netherlands,NED,B,86.88,2.8083,0.7476,0.6639,0.9566,0.537191321336839,0.351209254584094,0.184946732229298,0.067003815155878
17 June,18:00,Nigeria,NGA,F,74.89,1.5476,0.8186,0.0384,0.276,0.089904326587029,0.024303859101251,0.004766604220052,0.00105599379875
17 June,18:00,Portugal,POR,G,78.86,2.0356,0.9034,0.0089,0.229,0.114180824225,0.03678640248019,0.014302956622465,0.0028958299293
17 June,18:00,Russia,RUS,H,78.86,1.6526,0.6319,0.2827,0.6298,0.212800651687337,0.072500286917457,0.021207519479833,0.004855596492969
17 June,18:00,Switzerland,SUI,E,79.35,2.0756,0.8953,0.2738,0.7962,0.286991292596148,0.113875313538203,0.037233534070231,0.008817353780632
17 June,18:00,Uruguay,URU,D,80.88,2.1937,0.8626,0.0619,0.2162,0.095718899438585,0.024873019310437,0.009375791335241,0.002768922913094
17 June,18:00,USA,USA,G,78.43,2.0989,0.9785,0.1065,0.6851,0.338035108299679,0.111436699023711,0.038914576986863,0.007987872622677
17 June,21:00,Algeria,ALG,H,63.35,1.1178,1.1668,0.0163,0.1274,0.016604588371759,0.003374115888177,0.000379077515679,5.0003562145E-05
17 June,21:00,Argentina,ARG,F,89.87,2.8242,0.4467,0.9064,0.9834,0.70005740143616,0.497666903164174,0.315346348978054,0.135842927358637
17 June,21:00,Australia,AUS,B,69.13,1.6537,1.2677,0.0016,0.0205,0.001840853702574,0.000489025324768,9.580596475E-05,1.4033324664E-05
17 June,21:00,Belgium,BEL,H,82.09,2.1425,0.7344,0.5739,0.8651,0.394415947414285,0.155186974464384,0.060992494636465,0.016163009583883
17 June,21:00,Bosnia and Herzegovina,BIH,F,80.57,2.326,0.9764,0.0388,0.5493,0.231096831145267,0.080516824265249,0.019898630251726,0.006532569563915
17 June,21:00,Brazil,BRA,A,91.6,3.3842,0.5578,0.9402,0.9966,0.7891172494028,0.662619550472999,0.510824297029988,0.406579420551041
17 June,21:00,Chile,CHI,B,86.83,2.7238,0.7007,0.3044,0.7802,0.324550008340593,0.205699224017468,0.106124413947262,0.041463610980532
17 June,21:00,Ivory Coast,CIV,C,79.15,2.2139,1.0064,0.2218,0.7863,0.396326295245362,0.125977669352366,0.044838037181909,0.010021918552254
17 June,21:00,Cameroon,CMR,A,70.12,1.356,0.967,0.0026,0.01,0.00205962938689,0.000659185908352,0.000148951159165,2.237695532E-05
17 June,21:00,Colombia,COL,C,87.63,2.3896,0.4174,0.7534,0.9638,0.639280676149758,0.221804556951776,0.110949772953428,0.049645793278766
17 June,21:00,Costa Rica,CRC,D,77.45,1.5906,0.6828,0.412,0.7285,0.28952924981039,0.077347100658573,0.024561576193415,0.005017282576635
17 June,21:00,Croatia,CRO,A,76.38,1.8123,0.9164,0.0129,0.1919,0.052810616885892,0.022409658780284,0.006935073483836,0.001179547610206
17 June,21:00,Ecuador,ECU,E,79.85,1.9826,0.7945,0.0372,0.2058,0.06757049591095,0.029421538059205,0.010748972808537,0.002458194644731
17 June,21:00,England,ENG,D,82.21,2.1664,0.7412,0.0868,0.3191,0.146206038050248,0.039732907904367,0.015494637220394,0.004859736354435
17 June,21:00,Spain,ESP,B,86.77,2.6136,0.6381,0.029,0.2431,0.070106759233314,0.04159339759661,0.020438714207465,0.008918932794534
17 June,21:00,France,FRA,E,86.93,2.5422,0.5791,0.6873,0.9201,0.560366241918298,0.276794817585891,0.105748765783837,0.046717945947742
17 June,21:00,Germany,GER,G,90.09,3.2869,0.6908,0.8805,0.9857,0.792380659738469,0.54737356489035,0.251192233010743,0.152476096986417
17 June,21:00,Ghana,GHA,G,76.4,1.849,0.9419,0.0039,0.1017,0.045914120837496,0.012958485989826,0.004374758798678,0.000773003465412
17 June,21:00,Greece,GRE,C,74.21,1.2976,0.672,0.0108,0.1445,0.059092062236515,0.016392607353152,0.004553975694413,0.000703143157376
17 June,21:00,Honduras,HON,E,68.2,1.5045,1.2049,0.0059,0.071,0.01218193948144,0.003592317220615,0.000834094327638,9.51299604E-05
17 June,21:00,Iran,IRN,F,70.83,1.1909,0.7921,0.0202,0.1946,0.052204121597626,0.011382746429312,0.001764124054448,0.000323032146324
17 June,21:00,Italy,ITA,D,80.19,2.0385,0.8083,0.4455,0.7437,0.336101644762105,0.105026716672433,0.038176387176116,0.009113868948865
17 June,21:00,Japan,JPN,C,73.13,2.073,1.3309,0.014,0.1054,0.041330524747235,0.010317017969844,0.002661962188398,0.000373321735623
17 June,21:00,South Korea,KOR,H,72.42,1.6881,1.0845,0.1364,0.3841,0.089377910288138,0.023012006607972,0.004667754235695,0.000765491367931
17 June,21:00,Mexico,MEX,A,77.57,1.5338,0.6336,0.0443,0.8015,0.229824924659129,0.100759661823318,0.032305989421552,0.005808466862036
17 June,21:00,Netherlands,NED,B,86.88,2.8083,0.7476,0.665,0.9562,0.52968995838874,0.345298954829556,0.181242012929757,0.065879873700941
17 June,21:00,Nigeria,NGA,F,74.89,1.5476,0.8186,0.0346,0.2727,0.088137017990091,0.023735930985056,0.004638745101727,0.001032887520585
17 June,21:00,Portugal,POR,G,78.86,2.0356,0.9034,0.0088,0.2308,0.114381869395321,0.037183086454043,0.014210434457722,0.002900062520646
17 June,21:00,Russia,RUS,H,78.86,1.6526,0.6319,0.2734,0.6234,0.210075646960767,0.071728476567797,0.020743531772713,0.004781093554071
17 June,21:00,Switzerland,SUI,E,79.35,2.0756,0.8953,0.2696,0.8031,0.288385950520156,0.114961703382982,0.037663056217283,0.008887374818098
17 June,21:00,Uruguay,URU,D,80.88,2.1937,0.8626,0.0557,0.2087,0.092133508998427,0.023872764384155,0.008976446137111,0.002664065012761
17 June,21:00,USA,USA,G,78.43,2.0989,0.9785,0.1068,0.6818,0.336849256993676,0.111110508044971,0.038468925160097,0.007935784603081
18 June,00:00,Algeria,ALG,H,63.35,1.1178,1.1668,0.0199,0.1464,0.019456804399171,0.003858073445074,0.000441109626974,5.7627244668E-05
18 June,00:00,Argentina,ARG,F,89.87,2.8242,0.4467,0.9073,0.9838,0.699744949299442,0.496746662574,0.314562818164205,0.135568246976336
18 June,00:00,Australia,AUS,B,69.13,1.6537,1.2677,0.001,0.0173,0.001449205083239,0.000396376706617,7.6517564387E-05,1.1283605282E-05
18 June,00:00,Belgium,BEL,H,82.09,2.1425,0.7344,0.6391,0.8676,0.410813837768897,0.15943573847899,0.064632985140113,0.016781018344888
18 June,00:00,Bosnia and Herzegovina,BIH,F,80.57,2.326,0.9764,0.0371,0.5455,0.229692146053428,0.079770161356694,0.019745509772951,0.006490033411677
18 June,00:00,Brazil,BRA,A,91.6,3.3842,0.5578,0.937,0.9963,0.788481298652098,0.661944710926665,0.509815176742791,0.405902832270686
18 June,00:00,Chile,CHI,B,86.83,2.7238,0.7007,0.3102,0.7779,0.326583619756379,0.206951114199511,0.106457582173094,0.041492410678287
18 June,00:00,Ivory Coast,CIV,C,79.15,2.2139,1.0064,0.2233,0.7961,0.401562657818698,0.127636280289133,0.045423107854717,0.010144812486952
18 June,00:00,Cameroon,CMR,A,70.12,1.356,0.967,0.0024,0.0113,0.002259273020542,0.000758713836702,0.000177122756153,2.5392448076E-05
18 June,00:00,Colombia,COL,C,87.63,2.3896,0.4174,0.7573,0.9579,0.634029133235105,0.218718012646684,0.10917437855307,0.049054706790559
18 June,00:00,Costa Rica,CRC,D,77.45,1.5906,0.6828,0.4073,0.7152,0.285934936793189,0.076535765631462,0.024187888070949,0.004934916001466
18 June,00:00,Croatia,CRO,A,76.38,1.8123,0.9164,0.0143,0.1922,0.052868927484973,0.022513793542898,0.006945270960729,0.001180081516472
18 June,00:00,Ecuador,ECU,E,79.85,1.9826,0.7945,0.034,0.206,0.066871356348045,0.029462159882103,0.010903301190379,0.002472045824491
18 June,00:00,England,ENG,D,82.21,2.1664,0.7412,0.082,0.3206,0.144518389686604,0.039072978897956,0.015256470205756,0.004801762389458
18 June,00:00,Spain,ESP,B,86.77,2.6136,0.6381,0.0258,0.2444,0.068980691457669,0.040909265739597,0.020088765100509,0.008878639944985
18 June,00:00,France,FRA,E,86.93,2.5422,0.5791,0.6897,0.9195,0.559224099039604,0.275393161341379,0.105406890063363,0.046526256432293
18 June,00:00,Germany,GER,G,90.09,3.2869,0.6908,0.8802,0.9847,0.798006764695189,0.551859906282169,0.253109760107228,0.153770123640401
18 June,00:00,Ghana,GHA,G,76.4,1.849,0.9419,0.0052,0.1038,0.046403623834453,0.013323382934131,0.004466937473536,0.000793266584599
18 June,00:00,Greece,GRE,C,74.21,1.2976,0.672,0.0082,0.1416,0.057992299372482,0.016227396494636,0.004498694272851,0.000691645968065
18 June,00:00,Honduras,HON,E,68.2,1.5045,1.2049,0.0062,0.0692,0.011858391305094,0.003388701717815,0.000790059059224,8.9961239214E-05
18 June,00:00,Iran,IRN,F,70.83,1.1909,0.7921,0.022,0.1915,0.051561355813633,0.011295545834824,0.00178089171704,0.000321944841931
